[2025-12-31 07:11:52] Network Stats - Interface: ens33 | RX Packets: 18370 | TX Packets: 10101 | RX: 10.36MB | TX: 2.63MB
[2025-12-31 07:12:23] Network Stats - Interface: ens33 | RX Packets: 18426 | TX Packets: 10131 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:25] Network Stats - Interface: ens33 | RX Packets: 18426 | TX Packets: 10131 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:27] Network Stats - Interface: ens33 | RX Packets: 18426 | TX Packets: 10131 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:29] Network Stats - Interface: ens33 | RX Packets: 18426 | TX Packets: 10131 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:31] Network Stats - Interface: ens33 | RX Packets: 18428 | TX Packets: 10133 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:33] Network Stats - Interface: ens33 | RX Packets: 18428 | TX Packets: 10133 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:35] Network Stats - Interface: ens33 | RX Packets: 18428 | TX Packets: 10133 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:37] Network Stats - Interface: ens33 | RX Packets: 18428 | TX Packets: 10133 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:40] Network Stats - Interface: ens33 | RX Packets: 18429 | TX Packets: 10134 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:42] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:44] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:46] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:48] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:50] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:52] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:54] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:56] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 07:12:58] Network Stats - Interface: ens33 | RX Packets: 18431 | TX Packets: 10135 | RX: 10.42MB | TX: 2.63MB
[2025-12-31 09:57:28] Network Stats - Interface: ens33 | RX Packets: 40722 | TX Packets: 27479 | RX: 17.98MB | TX: 15.39MB
[2025-12-31 09:57:47] Network Stats - Interface: ens33 | RX Packets: 40763 | TX Packets: 27517 | RX: 17.99MB | TX: 15.40MB
[2025-12-31 10:07:03] Network Stats - Interface: ens33 | RX Packets: 42023 | TX Packets: 28585 | RX: 18.24MB | TX: 16.32MB
[2025-12-31 10:09:23] Network Stats - Interface: ens33 | RX Packets: 42559 | TX Packets: 28959 | RX: 18.40MB | TX: 16.51MB
[2025-12-31 10:09:42] Network Stats - Interface: ens33 | RX Packets: 42595 | TX Packets: 28986 | RX: 18.41MB | TX: 16.52MB
[2025-12-31 10:10:01] Network Stats - Interface: ens33 | RX Packets: 42599 | TX Packets: 28988 | RX: 18.41MB | TX: 16.52MB
[2025-12-31 10:15:38] Network Stats - Interface: ens33 | RX Packets: 43865 | TX Packets: 29928 | RX: 19.02MB | TX: 17.13MB
[2025-12-31 10:15:57] Network Stats - Interface: ens33 | RX Packets: 43905 | TX Packets: 29964 | RX: 19.03MB | TX: 17.16MB
[2025-12-31 10:16:16] Network Stats - Interface: ens33 | RX Packets: 43949 | TX Packets: 29995 | RX: 19.03MB | TX: 17.19MB
[2025-12-31 10:16:35] Network Stats - Interface: ens33 | RX Packets: 43996 | TX Packets: 30035 | RX: 19.04MB | TX: 17.22MB
[2025-12-31 10:16:54] Network Stats - Interface: ens33 | RX Packets: 44291 | TX Packets: 30277 | RX: 19.15MB | TX: 17.45MB
[2025-12-31 10:17:13] Network Stats - Interface: ens33 | RX Packets: 44383 | TX Packets: 30368 | RX: 19.16MB | TX: 17.46MB
[2025-12-31 10:17:32] Network Stats - Interface: ens33 | RX Packets: 44524 | TX Packets: 30507 | RX: 19.19MB | TX: 17.54MB
[2025-12-31 10:17:52] Network Stats - Interface: ens33 | RX Packets: 44636 | TX Packets: 30588 | RX: 19.26MB | TX: 17.57MB
[2025-12-31 10:18:10] Network Stats - Interface: ens33 | RX Packets: 44683 | TX Packets: 30621 | RX: 19.28MB | TX: 17.59MB
[2025-12-31 10:42:47] Network Stats - Interface: ens33 | RX Packets: 50166 | TX Packets: 34868 | RX: 21.81MB | TX: 20.10MB
[2025-12-31 10:43:06] Network Stats - Interface: ens33 | RX Packets: 52792 | TX Packets: 36474 | RX: 23.74MB | TX: 20.62MB
[2025-12-31 10:43:25] Network Stats - Interface: ens33 | RX Packets: 52850 | TX Packets: 36506 | RX: 23.76MB | TX: 20.64MB
[2025-12-31 10:43:44] Network Stats - Interface: ens33 | RX Packets: 52929 | TX Packets: 36554 | RX: 23.83MB | TX: 20.64MB
[2025-12-31 10:44:03] Network Stats - Interface: ens33 | RX Packets: 53031 | TX Packets: 36641 | RX: 23.84MB | TX: 20.65MB
[2025-12-31 10:44:22] Network Stats - Interface: ens33 | RX Packets: 53060 | TX Packets: 36654 | RX: 23.84MB | TX: 20.65MB
[2025-12-31 10:44:41] Network Stats - Interface: ens33 | RX Packets: 53063 | TX Packets: 36656 | RX: 23.84MB | TX: 20.65MB
[2025-12-31 10:45:00] Network Stats - Interface: ens33 | RX Packets: 53150 | TX Packets: 36739 | RX: 23.84MB | TX: 20.65MB
[2025-12-31 10:45:19] Network Stats - Interface: ens33 | RX Packets: 53154 | TX Packets: 36741 | RX: 23.84MB | TX: 20.65MB
[2025-12-31 10:45:38] Network Stats - Interface: ens33 | RX Packets: 53160 | TX Packets: 36746 | RX: 23.85MB | TX: 20.65MB
[2025-12-31 10:45:57] Network Stats - Interface: ens33 | RX Packets: 53290 | TX Packets: 36871 | RX: 23.85MB | TX: 20.66MB
[2025-12-31 10:46:16] Network Stats - Interface: ens33 | RX Packets: 53305 | TX Packets: 36873 | RX: 23.85MB | TX: 20.66MB
[2025-12-31 10:46:35] Network Stats - Interface: ens33 | RX Packets: 53313 | TX Packets: 36874 | RX: 23.85MB | TX: 20.66MB
[2025-12-31 10:46:54] Network Stats - Interface: ens33 | RX Packets: 53314 | TX Packets: 36875 | RX: 23.85MB | TX: 20.66MB
[2025-12-31 10:47:13] Network Stats - Interface: ens33 | RX Packets: 53364 | TX Packets: 36923 | RX: 23.86MB | TX: 20.70MB
[2025-12-31 10:47:32] Network Stats - Interface: ens33 | RX Packets: 53490 | TX Packets: 37032 | RX: 23.90MB | TX: 20.78MB
[2025-12-31 10:47:51] Network Stats - Interface: ens33 | RX Packets: 53663 | TX Packets: 37180 | RX: 23.98MB | TX: 20.86MB
[2025-12-31 10:48:10] Network Stats - Interface: ens33 | RX Packets: 53723 | TX Packets: 37228 | RX: 23.99MB | TX: 20.89MB
[2025-12-31 10:48:29] Network Stats - Interface: ens33 | RX Packets: 54081 | TX Packets: 37533 | RX: 24.13MB | TX: 21.09MB
[2025-12-31 10:49:01] Network Stats - Interface: ens33 | RX Packets: 54127 | TX Packets: 37574 | RX: 24.14MB | TX: 21.11MB
[2025-12-31 10:49:20] Network Stats - Interface: ens33 | RX Packets: 54131 | TX Packets: 37577 | RX: 24.14MB | TX: 21.11MB
[2025-12-31 10:51:30] Network Stats - Interface: ens33 | RX Packets: 54481 | TX Packets: 37858 | RX: 24.29MB | TX: 21.32MB
[2025-12-31 10:51:49] Network Stats - Interface: ens33 | RX Packets: 54517 | TX Packets: 37894 | RX: 24.29MB | TX: 21.36MB
[2025-12-31 10:52:08] Network Stats - Interface: ens33 | RX Packets: 54688 | TX Packets: 38030 | RX: 24.35MB | TX: 21.45MB
[2025-12-31 10:52:27] Network Stats - Interface: ens33 | RX Packets: 54855 | TX Packets: 38160 | RX: 24.42MB | TX: 21.48MB
[2025-12-31 10:52:46] Network Stats - Interface: ens33 | RX Packets: 54957 | TX Packets: 38261 | RX: 24.44MB | TX: 21.58MB
[2025-12-31 10:58:23] Network Stats - Interface: ens33 | RX Packets: 56417 | TX Packets: 39415 | RX: 25.08MB | TX: 22.45MB
[2025-12-31 11:03:57] Network Stats - Interface: ens33 | RX Packets: 57573 | TX Packets: 40323 | RX: 25.52MB | TX: 23.00MB
[2025-12-31 11:04:16] Network Stats - Interface: ens33 | RX Packets: 57595 | TX Packets: 40341 | RX: 25.54MB | TX: 23.00MB
[2025-12-31 11:09:06] Network Stats - Interface: ens33 | RX Packets: 58841 | TX Packets: 41267 | RX: 26.21MB | TX: 23.56MB
[2025-12-31 11:12:01] Network Stats - Interface: ens33 | RX Packets: 59930 | TX Packets: 42172 | RX: 26.68MB | TX: 24.21MB
[2025-12-31 11:12:57] Network Stats - Interface: ens33 | RX Packets: 60132 | TX Packets: 42344 | RX: 26.75MB | TX: 24.37MB
[2025-12-31 11:13:16] Network Stats - Interface: ens33 | RX Packets: 60153 | TX Packets: 42352 | RX: 26.75MB | TX: 24.37MB
[2025-12-31 11:13:35] Network Stats - Interface: ens33 | RX Packets: 60165 | TX Packets: 42357 | RX: 26.75MB | TX: 24.37MB
[2025-12-31 11:13:54] Network Stats - Interface: ens33 | RX Packets: 60184 | TX Packets: 42370 | RX: 26.76MB | TX: 24.37MB
[2025-12-31 11:14:13] Network Stats - Interface: ens33 | RX Packets: 61695 | TX Packets: 43363 | RX: 27.71MB | TX: 24.68MB
[2025-12-31 11:14:32] Network Stats - Interface: ens33 | RX Packets: 63171 | TX Packets: 43980 | RX: 29.06MB | TX: 24.87MB
[2025-12-31 11:14:51] Network Stats - Interface: ens33 | RX Packets: 63654 | TX Packets: 44226 | RX: 29.47MB | TX: 24.94MB
[2025-12-31 11:15:10] Network Stats - Interface: ens33 | RX Packets: 63729 | TX Packets: 44294 | RX: 29.48MB | TX: 24.95MB
[2025-12-31 11:15:29] Network Stats - Interface: ens33 | RX Packets: 63789 | TX Packets: 44352 | RX: 29.49MB | TX: 24.97MB
[2025-12-31 11:15:48] Network Stats - Interface: ens33 | RX Packets: 63805 | TX Packets: 44368 | RX: 29.49MB | TX: 24.97MB
[2025-12-31 11:16:07] Network Stats - Interface: ens33 | RX Packets: 63834 | TX Packets: 44386 | RX: 29.49MB | TX: 24.98MB
[2025-12-31 11:16:26] Network Stats - Interface: ens33 | RX Packets: 63916 | TX Packets: 44452 | RX: 29.50MB | TX: 24.98MB
[2025-12-31 11:16:45] Network Stats - Interface: ens33 | RX Packets: 63935 | TX Packets: 44468 | RX: 29.50MB | TX: 24.98MB
[2025-12-31 11:17:05] Network Stats - Interface: ens33 | RX Packets: 64032 | TX Packets: 44564 | RX: 29.50MB | TX: 24.99MB
[2025-12-31 11:17:21] Network Stats - Interface: ens33 | RX Packets: 64074 | TX Packets: 44605 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:25] Network Stats - Interface: ens33 | RX Packets: 64074 | TX Packets: 44605 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:27] Network Stats - Interface: ens33 | RX Packets: 64075 | TX Packets: 44605 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:29] Network Stats - Interface: ens33 | RX Packets: 64087 | TX Packets: 44617 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:31] Network Stats - Interface: ens33 | RX Packets: 64091 | TX Packets: 44621 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:33] Network Stats - Interface: ens33 | RX Packets: 64099 | TX Packets: 44629 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:35] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:37] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:39] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:41] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:43] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:45] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:47] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:49] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:51] Network Stats - Interface: ens33 | RX Packets: 64102 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:53] Network Stats - Interface: ens33 | RX Packets: 64104 | TX Packets: 44631 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:55] Network Stats - Interface: ens33 | RX Packets: 64108 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:57] Network Stats - Interface: ens33 | RX Packets: 64108 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:17:59] Network Stats - Interface: ens33 | RX Packets: 64108 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:01] Network Stats - Interface: ens33 | RX Packets: 64110 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:03] Network Stats - Interface: ens33 | RX Packets: 64111 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:05] Network Stats - Interface: ens33 | RX Packets: 64114 | TX Packets: 44632 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:08] Network Stats - Interface: ens33 | RX Packets: 64123 | TX Packets: 44641 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:10] Network Stats - Interface: ens33 | RX Packets: 64124 | TX Packets: 44641 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:12] Network Stats - Interface: ens33 | RX Packets: 64126 | TX Packets: 44641 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:14] Network Stats - Interface: ens33 | RX Packets: 64130 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:16] Network Stats - Interface: ens33 | RX Packets: 64131 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:18] Network Stats - Interface: ens33 | RX Packets: 64131 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:20] Network Stats - Interface: ens33 | RX Packets: 64133 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:22] Network Stats - Interface: ens33 | RX Packets: 64135 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:24] Network Stats - Interface: ens33 | RX Packets: 64137 | TX Packets: 44642 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:26] Network Stats - Interface: ens33 | RX Packets: 64141 | TX Packets: 44646 | RX: 29.51MB | TX: 24.99MB
[2025-12-31 11:18:28] Network Stats - Interface: ens33 | RX Packets: 64221 | TX Packets: 44718 | RX: 29.55MB | TX: 25.01MB
[2025-12-31 11:18:30] Network Stats - Interface: ens33 | RX Packets: 64794 | TX Packets: 45063 | RX: 30.00MB | TX: 25.11MB
[2025-12-31 11:18:32] Network Stats - Interface: ens33 | RX Packets: 65333 | TX Packets: 45528 | RX: 30.21MB | TX: 25.30MB
[2025-12-31 11:18:34] Network Stats - Interface: ens33 | RX Packets: 65368 | TX Packets: 45547 | RX: 30.23MB | TX: 25.31MB
[2025-12-31 11:18:36] Network Stats - Interface: ens33 | RX Packets: 65391 | TX Packets: 45565 | RX: 30.24MB | TX: 25.31MB
[2025-12-31 11:18:38] Network Stats - Interface: ens33 | RX Packets: 65416 | TX Packets: 45582 | RX: 30.24MB | TX: 25.32MB
[2025-12-31 11:18:41] Network Stats - Interface: ens33 | RX Packets: 65465 | TX Packets: 45626 | RX: 30.26MB | TX: 25.34MB
[2025-12-31 11:18:43] Network Stats - Interface: ens33 | RX Packets: 65483 | TX Packets: 45640 | RX: 30.27MB | TX: 25.34MB
[2025-12-31 11:18:45] Network Stats - Interface: ens33 | RX Packets: 65835 | TX Packets: 45847 | RX: 30.56MB | TX: 25.39MB
[2025-12-31 11:18:47] Network Stats - Interface: ens33 | RX Packets: 65991 | TX Packets: 45958 | RX: 30.65MB | TX: 25.42MB
[2025-12-31 11:18:49] Network Stats - Interface: ens33 | RX Packets: 65994 | TX Packets: 45960 | RX: 30.65MB | TX: 25.42MB
[2025-12-31 11:18:51] Network Stats - Interface: ens33 | RX Packets: 66023 | TX Packets: 45987 | RX: 30.66MB | TX: 25.43MB
[2025-12-31 11:18:53] Network Stats - Interface: ens33 | RX Packets: 66028 | TX Packets: 45993 | RX: 30.66MB | TX: 25.44MB
[2025-12-31 11:18:55] Network Stats - Interface: ens33 | RX Packets: 66037 | TX Packets: 46000 | RX: 30.66MB | TX: 25.44MB
[2025-12-31 11:18:57] Network Stats - Interface: ens33 | RX Packets: 66040 | TX Packets: 46002 | RX: 30.66MB | TX: 25.44MB
[2025-12-31 11:18:59] Network Stats - Interface: ens33 | RX Packets: 66040 | TX Packets: 46002 | RX: 30.66MB | TX: 25.44MB
[2025-12-31 11:19:01] Network Stats - Interface: ens33 | RX Packets: 66062 | TX Packets: 46024 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:03] Network Stats - Interface: ens33 | RX Packets: 66062 | TX Packets: 46024 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:05] Network Stats - Interface: ens33 | RX Packets: 66064 | TX Packets: 46027 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:07] Network Stats - Interface: ens33 | RX Packets: 66064 | TX Packets: 46027 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:09] Network Stats - Interface: ens33 | RX Packets: 66064 | TX Packets: 46027 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:11] Network Stats - Interface: ens33 | RX Packets: 66064 | TX Packets: 46027 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:14] Network Stats - Interface: ens33 | RX Packets: 66065 | TX Packets: 46028 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:16] Network Stats - Interface: ens33 | RX Packets: 66069 | TX Packets: 46031 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:18] Network Stats - Interface: ens33 | RX Packets: 66074 | TX Packets: 46036 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:20] Network Stats - Interface: ens33 | RX Packets: 66074 | TX Packets: 46036 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:22] Network Stats - Interface: ens33 | RX Packets: 66079 | TX Packets: 46041 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:24] Network Stats - Interface: ens33 | RX Packets: 66079 | TX Packets: 46041 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:26] Network Stats - Interface: ens33 | RX Packets: 66080 | TX Packets: 46042 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:28] Network Stats - Interface: ens33 | RX Packets: 66083 | TX Packets: 46045 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:30] Network Stats - Interface: ens33 | RX Packets: 66097 | TX Packets: 46059 | RX: 30.67MB | TX: 25.44MB
[2025-12-31 11:19:32] Network Stats - Interface: ens33 | RX Packets: 66145 | TX Packets: 46106 | RX: 30.68MB | TX: 25.45MB
[2025-12-31 11:19:34] Network Stats - Interface: ens33 | RX Packets: 66152 | TX Packets: 46112 | RX: 30.68MB | TX: 25.45MB
[2025-12-31 11:19:36] Network Stats - Interface: ens33 | RX Packets: 66165 | TX Packets: 46123 | RX: 30.69MB | TX: 25.45MB
[2025-12-31 11:27:10] Network Stats - Interface: ens33 | RX Packets: 68068 | TX Packets: 47551 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:12] Network Stats - Interface: ens33 | RX Packets: 68068 | TX Packets: 47551 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:14] Network Stats - Interface: ens33 | RX Packets: 68070 | TX Packets: 47552 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:15] Network Stats - Interface: ens33 | RX Packets: 68070 | TX Packets: 47552 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:16] Network Stats - Interface: ens33 | RX Packets: 68070 | TX Packets: 47552 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:17] Network Stats - Interface: ens33 | RX Packets: 68070 | TX Packets: 47552 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:18] Network Stats - Interface: ens33 | RX Packets: 68070 | TX Packets: 47552 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:19] Network Stats - Interface: ens33 | RX Packets: 68071 | TX Packets: 47553 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:20] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:21] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:22] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:23] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:24] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:25] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:26] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:27] Network Stats - Interface: ens33 | RX Packets: 68072 | TX Packets: 47554 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:29] Network Stats - Interface: ens33 | RX Packets: 68073 | TX Packets: 47555 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:31] Network Stats - Interface: ens33 | RX Packets: 68073 | TX Packets: 47555 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:33] Network Stats - Interface: ens33 | RX Packets: 68073 | TX Packets: 47555 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:35] Network Stats - Interface: ens33 | RX Packets: 68075 | TX Packets: 47556 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:37] Network Stats - Interface: ens33 | RX Packets: 68075 | TX Packets: 47556 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:39] Network Stats - Interface: ens33 | RX Packets: 68075 | TX Packets: 47556 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:27:41] Network Stats - Interface: ens33 | RX Packets: 68075 | TX Packets: 47556 | RX: 31.69MB | TX: 26.01MB
[2025-12-31 11:30:33] Network Stats - Interface: ens33 | RX Packets: 71423 | TX Packets: 49514 | RX: 34.20MB | TX: 26.55MB
[2025-12-31 11:30:35] Network Stats - Interface: ens33 | RX Packets: 71468 | TX Packets: 49534 | RX: 34.26MB | TX: 26.56MB
[2025-12-31 11:30:37] Network Stats - Interface: ens33 | RX Packets: 71498 | TX Packets: 49562 | RX: 34.27MB | TX: 26.56MB
[2025-12-31 11:30:39] Network Stats - Interface: ens33 | RX Packets: 71498 | TX Packets: 49562 | RX: 34.27MB | TX: 26.56MB
[2025-12-31 11:30:41] Network Stats - Interface: ens33 | RX Packets: 71498 | TX Packets: 49562 | RX: 34.27MB | TX: 26.56MB
[2025-12-31 11:30:43] Network Stats - Interface: ens33 | RX Packets: 71498 | TX Packets: 49562 | RX: 34.27MB | TX: 26.56MB
[2025-12-31 11:30:45] Network Stats - Interface: ens33 | RX Packets: 71498 | TX Packets: 49562 | RX: 34.27MB | TX: 26.56MB
[2025-12-31 11:30:48] Network Stats - Interface: ens33 | RX Packets: 71508 | TX Packets: 49572 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:30:50] Network Stats - Interface: ens33 | RX Packets: 71508 | TX Packets: 49572 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:30:52] Network Stats - Interface: ens33 | RX Packets: 71511 | TX Packets: 49574 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:30:54] Network Stats - Interface: ens33 | RX Packets: 71517 | TX Packets: 49577 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:30:56] Network Stats - Interface: ens33 | RX Packets: 71518 | TX Packets: 49577 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:30:58] Network Stats - Interface: ens33 | RX Packets: 71528 | TX Packets: 49587 | RX: 34.27MB | TX: 26.57MB
[2025-12-31 11:31:00] Network Stats - Interface: ens33 | RX Packets: 71630 | TX Packets: 49666 | RX: 34.34MB | TX: 26.58MB
